$AvgCyclomatic,$AvgCyclomaticModified,$AvgCyclomaticStrict,$AvgEssential,$AvgLine,$AvgLineBlank,$AvgLineCode,$AvgLineComment,$CountLine,$CountLineBlank,$CountLineCode,$CountLineCodeDecl,$CountLineCodeExe,$CountLineComment,$CountSemicolon,$CountStmt,$CountStmtDecl,$CountStmtExe,$MaxCyclomatic,$MaxCyclomaticModified,$MaxCyclomaticStrict,$RatioCommentToCode,$SumCyclomatic,$SumCyclomaticModified,$SumCyclomaticStrict,$SumEssential,$>Defects
2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,37.0,4.0,23.0,8.0,10.0,10.0,13.0,16.0,8.0,8.0,2.0,2.0,2.0,0.43,4.0,4.0,4.0,2.0,0
4.0,4.0,6.0,1.0,20.0,1.0,14.0,6.0,29.0,4.0,18.0,9.0,7.0,8.0,11.0,16.0,7.0,9.0,4.0,4.0,6.0,0.44,4.0,4.0,6.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.0,6.0,5.0,0.0,30.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,29.0,3.0,5.0,2.0,2.0,15.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,33.0,4.0,9.0,3.0,2.0,15.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.67,2.0,2.0,2.0,2.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,21.0,21.0,16.0,19.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,14.0,13.0,0.0,8.0,12.0,13.0,13.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,5.0,4.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,7.0,2.0,5.0,3.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,25.0,1.0,24.0,22.0,1.0,0.0,21.0,23.0,22.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,20.0,4.0,16.0,6.0,4.0,0.0,5.0,6.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,0
1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,35.0,7.0,28.0,14.0,7.0,0.0,13.0,17.0,10.0,7.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,6.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,1.0,1.0,41.0,4.0,29.0,8.0,44.0,4.0,32.0,12.0,18.0,8.0,23.0,27.0,13.0,14.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0
3.0,3.0,3.0,2.0,24.0,5.0,19.0,0.0,98.0,21.0,58.0,13.0,34.0,16.0,22.0,31.0,7.0,24.0,4.0,4.0,4.0,0.28,9.0,9.0,9.0,6.0,0
5.0,5.0,5.0,4.0,25.0,0.0,22.0,3.0,47.0,4.0,22.0,2.0,14.0,18.0,10.0,15.0,1.0,14.0,5.0,5.0,5.0,0.82,5.0,5.0,5.0,4.0,0
1.0,1.0,1.0,1.0,11.0,2.0,8.0,0.0,64.0,19.0,41.0,20.0,15.0,4.0,26.0,31.0,16.0,15.0,2.0,2.0,2.0,0.1,5.0,5.0,5.0,4.0,0
1.0,1.0,1.0,1.0,10.0,1.0,9.0,0.0,108.0,20.0,63.0,32.0,38.0,26.0,24.0,30.0,15.0,15.0,2.0,2.0,2.0,0.41,7.0,7.0,7.0,5.0,0
1.0,1.0,1.0,1.0,11.0,1.0,9.0,0.0,28.0,6.0,21.0,6.0,11.0,1.0,9.0,12.0,5.0,7.0,2.0,2.0,2.0,0.05,3.0,3.0,3.0,2.0,0
1.0,1.0,1.0,1.0,10.0,1.0,8.0,0.0,46.0,8.0,30.0,9.0,15.0,8.0,15.0,20.0,8.0,12.0,2.0,2.0,2.0,0.27,5.0,5.0,5.0,3.0,0
1.0,1.0,1.0,1.0,13.0,1.0,9.0,0.0,70.0,6.0,27.0,18.0,3.0,26.0,4.0,7.0,4.0,3.0,1.0,1.0,1.0,0.96,3.0,3.0,3.0,3.0,0
1.0,1.0,1.0,1.0,8.0,1.0,8.0,0.0,55.0,7.0,31.0,13.0,21.0,15.0,14.0,17.0,5.0,12.0,1.0,1.0,1.0,0.48,3.0,3.0,3.0,3.0,1
1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,31.0,10.0,17.0,6.0,7.0,4.0,9.0,12.0,5.0,7.0,2.0,2.0,2.0,0.24,3.0,3.0,3.0,2.0,0
1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,45.0,5.0,21.0,12.0,15.0,15.0,4.0,6.0,3.0,3.0,1.0,1.0,1.0,0.71,2.0,2.0,2.0,2.0,0
1.0,1.0,1.0,1.0,6.0,1.0,5.0,0.0,44.0,5.0,20.0,15.0,12.0,15.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,11.0,1.0,10.0,2.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0
1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,39.0,3.0,9.0,6.0,1.0,15.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.67,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,22.0,1.0,9.0,6.0,1.0,12.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1.33,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,34.0,4.0,9.0,6.0,1.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.11,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,9.0,0.0,9.0,0.0,37.0,3.0,9.0,6.0,1.0,21.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.33,1.0,1.0,1.0,1.0,0
1.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,45.0,4.0,8.0,6.0,0.0,33.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,4.13,1.0,1.0,1.0,1.0,0
